stock_name,ticker,screener_url,market_cap,sector,industry
Central Mine Pla,CMPDI,https://www.screener.in/company/CMPDI/,11646.24,Other / Unknown,Other / Unknown
SignatureGlobal,SIGNATURE,https://www.screener.in/company/SIGNATURE/consolidated/,11512.99,Other / Unknown,Other / Unknown
Godrej Agrovet,GODREJAGRO,https://www.screener.in/company/GODREJAGRO/consolidated/,11290.66,Other / Unknown,Other / Unknown
Concord Biotech,CONCORDBIO,https://www.screener.in/company/CONCORDBIO/,11032.82,Other / Unknown,Other / Unknown
Honasa Consumer,HONASA,https://www.screener.in/company/HONASA/,10834.41,Other / Unknown,Other / Unknown
Sanofi Consumer,SANOFICONR,https://www.screener.in/company/SANOFICONR/,10535.76,Other / Unknown,Other / Unknown
Blackbuck,BLACKBUCK,https://www.screener.in/company/BLACKBUCK/,10319.25,Other / Unknown,Other / Unknown
Jubilant Ingrev.,JUBLINGREA,https://www.screener.in/company/JUBLINGREA/consolidated/,10165.19,Other / Unknown,Other / Unknown
The Bombay Burmah,BBTC,https://www.screener.in/company/BBTC/consolidated/,10082.78,Other / Unknown,Other / Unknown
Vijaya Diagnost.,VIJAYA,https://www.screener.in/company/VIJAYA/consolidated/,10036.59,Other / Unknown,Other / Unknown
Rites,RITES,https://www.screener.in/company/RITES/consolidated/,9879.43,Other / Unknown,Other / Unknown
Balrampur Chini,BALRAMCHIN,https://www.screener.in/company/BALRAMCHIN/consolidated/,9647.17,Other / Unknown,Other / Unknown
Sandur Manganese,SANDUMA,https://www.screener.in/company/SANDUMA/consolidated/,9574.35,Other / Unknown,Other / Unknown
Metropolis Healt,METROPOLIS,https://www.screener.in/company/METROPOLIS/consolidated/,9456.22,Other / Unknown,Other / Unknown
Vesuvius India,VESUVIUS,https://www.screener.in/company/VESUVIUS/,9260.06,Other / Unknown,Other / Unknown
Lemon Tree Hotel,LEMONTREE,https://www.screener.in/company/LEMONTREE/consolidated/,8985.67,Other / Unknown,Other / Unknown
ASK Automotive,ASKAUTOLTD,https://www.screener.in/company/ASKAUTOLTD/consolidated/,8647.65,Other / Unknown,Other / Unknown
Mah. Seamless,MAHSEAMLES,https://www.screener.in/company/MAHSEAMLES/consolidated/,8154.73,Other / Unknown,Other / Unknown
P & G Health Ltd,PGHL,https://www.screener.in/company/PGHL/,7981.16,Other / Unknown,Other / Unknown
Tata Tele. Mah.,TTML,https://www.screener.in/company/TTML/,7899.86,Other / Unknown,Other / Unknown
Tejas Networks,TEJASNET,https://www.screener.in/company/TEJASNET/consolidated/,7806.42,Other / Unknown,Other / Unknown
Manorama Indust.,MANORAMA,https://www.screener.in/company/MANORAMA/,7624.55,Other / Unknown,Other / Unknown
Quality Power El,QPOWER,https://www.screener.in/company/QPOWER/consolidated/,7498.53,Other / Unknown,Other / Unknown
Le Travenues,IXIGO,https://www.screener.in/company/IXIGO/consolidated/,7434.42,Other / Unknown,Other / Unknown
JK Paper,JKPAPER,https://www.screener.in/company/JKPAPER/consolidated/,6251.88,Other / Unknown,Other / Unknown
Praj Industries,PRAJIND,https://www.screener.in/company/PRAJIND/consolidated/,6188.96,Other / Unknown,Other / Unknown
MOIL,MOIL,https://www.screener.in/company/MOIL/,6112.71,Other / Unknown,Other / Unknown
India Glycols,INDIAGLYCO,https://www.screener.in/company/INDIAGLYCO/consolidated/,6035.23,Other / Unknown,Other / Unknown
Garware Tech.,GARFIBRES,https://www.screener.in/company/GARFIBRES/consolidated/,5977.82,Other / Unknown,Other / Unknown
Kovai Medical,KOVAI,https://www.screener.in/company/KOVAI/,5840.48,Other / Unknown,Other / Unknown
Jai Balaji Inds.,JAIBALAJI,https://www.screener.in/company/JAIBALAJI/consolidated/,5658.09,Other / Unknown,Other / Unknown
Sheela Foam,SFL,https://www.screener.in/company/SFL/consolidated/,5617.07,Other / Unknown,Other / Unknown
Piccadily Agro,PICCADIL,https://www.screener.in/company/PICCADIL/consolidated/,5491.88,Other / Unknown,Other / Unknown
Valor Estate,DBREALTY,https://www.screener.in/company/DBREALTY/consolidated/,5347.99,Other / Unknown,Other / Unknown
Ajax Engineering,AJAXENGG,https://www.screener.in/company/AJAXENGG/,5319.24,Other / Unknown,Other / Unknown
Electrost.Cast.,ELECTCAST,https://www.screener.in/company/ELECTCAST/consolidated/,5200.84,Other / Unknown,Other / Unknown
Entero Healthcar,ENTERO,https://www.screener.in/company/ENTERO/consolidated/,5130.47,Other / Unknown,Other / Unknown
Symphony,SYMPHONY,https://www.screener.in/company/SYMPHONY/consolidated/,5084.13,Other / Unknown,Other / Unknown
Keystone Realtor,RUSTOMJEE,https://www.screener.in/company/RUSTOMJEE/consolidated/,5012.84,Other / Unknown,Other / Unknown
Page Industries,PAGEIND,https://www.screener.in/company/PAGEIND/,40090.4,Textiles,Garments & Apparels
Arvind Ltd,ARVIND,https://www.screener.in/company/ARVIND/consolidated/,10024.55,Textiles,Garments & Apparels
Pearl Global Ind,PGIL,https://www.screener.in/company/PGIL/consolidated/,6979.83,Textiles,Garments & Apparels
Vardhman Textile,VTL,https://www.screener.in/company/VTL/consolidated/,15930.72,Textiles,Other Textile Products
Trident,TRIDENT,https://www.screener.in/company/TRIDENT/consolidated/,12699.16,Textiles,Other Textile Products
Welspun Living,WELSPUNLIV,https://www.screener.in/company/WELSPUNLIV/consolidated/,11675.87,Textiles,Other Textile Products
Alok Industries,ALOKINDS,https://www.screener.in/company/ALOKINDS/consolidated/,6623.63,Textiles,Other Textile Products
3M India,3MINDIA,https://www.screener.in/company/3MINDIA/,34980.01,Diversified,Diversified
Godrej Industrie,GODREJIND,https://www.screener.in/company/GODREJIND/consolidated/,29371.29,Diversified,Diversified
DCM Shriram,DCMSHRIRAM,https://www.screener.in/company/DCMSHRIRAM/consolidated/,17307.86,Diversified,Diversified
Prime Focus,PFOCUS,https://www.screener.in/company/PFOCUS/consolidated/,24750.84,"Media, Entertainment & Publication",Media & Entertainment
Tips Music,TIPSMUSIC,https://www.screener.in/company/TIPSMUSIC/,6840.2,"Media, Entertainment & Publication",Media & Entertainment
Saregama India,SAREGAMA,https://www.screener.in/company/SAREGAMA/consolidated/,6110.19,"Media, Entertainment & Publication",Media & Entertainment
Sun TV Network,SUNTV,https://www.screener.in/company/SUNTV/consolidated/,23272.76,"Media, Entertainment & Publication",TV Broadcasting & Software Production
Zee Entertainmen,ZEEL,https://www.screener.in/company/ZEEL/consolidated/,7586.13,"Media, Entertainment & Publication",TV Broadcasting & Software Production
Nazara Technolo.,NAZARA,https://www.screener.in/company/NAZARA/consolidated/,9283.37,"Media, Entertainment & Publication",Digital Entertainment
PVR Inox,PVRINOX,https://www.screener.in/company/PVRINOX/consolidated/,9253.34,"Media, Entertainment & Publication","Film Production, Distribution & Exhibition"
A B Real Estate,ABREL,https://www.screener.in/company/ABREL/consolidated/,14406.61,Forest Materials,Paper & Paper Products
Va Tech Wabag,WABAG,https://www.screener.in/company/WABAG/consolidated/,8220.86,Utilities,Water Supply & Management
ION Exchange,IONEXCHANG,https://www.screener.in/company/IONEXCHANG/consolidated/,5434.72,Utilities,Water Supply & Management
